school,slug,admin_email,password
St Joseph's College Sasse,st-josephs-college-sasse,admin.st-josephs-college-sasse@schoolos.sos,(existing — use reset-password)
Saker Baptist College,saker-baptist-college,admin.saker-baptist-college@schoolos.sos,(existing — use reset-password)
Bilingual Grammar School Molyko,bilingual-grammar-school-molyko,admin.bilingual-grammar-school-molyko@schoolos.sos,(existing — use reset-password)
Cameroon Protestant College Bali,cameroon-protestant-college-bali,admin.cameroon-protestant-college-bali@schoolos.sos,(existing — use reset-password)
Sacred Heart College Bamenda,sacred-heart-college-bamenda,admin.sacred-heart-college-bamenda@schoolos.sos,(existing — use reset-password)
Our Lady of Lourdes College Mankon,our-lady-of-lourdes-college-mankon,admin.our-lady-of-lourdes-college-mankon@schoolos.sos,(existing — use reset-password)
"Cameroon College of Arts, Science and Technology",cameroon-college-of-arts-science-and-technology,admin.cameroon-college-of-arts-science-and-technology@schoolos.sos,(existing — use reset-password)
Presbyterian Secondary School Mankon,presbyterian-secondary-school-mankon,admin.presbyterian-secondary-school-mankon@schoolos.sos,(existing — use reset-password)
Lycée Général Leclerc,lycee-general-leclerc,admin.lycee-general-leclerc@schoolos.sos,(existing — use reset-password)
Collège Libermann,college-libermann,admin.college-libermann@schoolos.sos,(existing — use reset-password)
Collège Jean Tabi,college-jean-tabi,admin.college-jean-tabi@schoolos.sos,(existing — use reset-password)
Lycée Classique de Bafoussam,lycee-classique-de-bafoussam,admin.lycee-classique-de-bafoussam@schoolos.sos,(existing — use reset-password)
